Role,Organization,Jurisdiction
Forest ecologist ,Colorado State University,University
Fire ecologist,Colorado Forest Restoration Institute,University
Fuels technician,Bureau of Land Management ,Federal
Research biogeochemist,Rocky Mountain Research Station,Federal
Fire behavior analyst,Colorado State Forest Service,State
Fluvial geomorphologist (2),Colorado State University,University
Fluvial geomorphologist,Consultant,Private
Water manager,Front Range City,Municipal
Research geologist (2),U.S. Geological Survey,Federal
Geologist,Colorado Geological Survey,State
Fire manager,U.S. Forest Service,Federal
