Role,Organization,Jurisdiction
Forest ecologist ,Colorado State University,University
Watershed scientist,Colorado State University,University
 Fire ecologist,Colorado Forest Restoration Institute,University
Research forester,Colorado Forest Restoration Institute,University
Research forester ,Ecological Restoration Institute,University
Research Biogeochemist ,Rocky Mountain Research Station ,Federal
Research social scientist,Rocky Mountain Research Station ,Federal
Research forester ,Rocky Mountain Research Station ,Federal
 Fire ecologist,Rocky Mountain Research Station ,Federal
Research geologist,U.S. Geological Survey,Federal
Soil scientist,U.S. Forest Service ,Federal
